Filename,Age,Mean F0,Mean Confidence,Fallback Used
10Y-001A-M1-01.wav,10.0,424.1304426279359,0.6982106882785484,"No Fallback, 90% Confidence"
6Y-034A-X-02.wav,6.0,531.1261256291709,0.7074982106685639,"No Fallback, 90% Confidence"
3Y-070A-F-02.wav,3.0,698.5292724013652,0.5426468749468525,"No Fallback, 90% Confidence"
3Y-072A-X-09.wav,3.0,672.4584185102872,0.3627483127399897,Fallback to Mid Confidence (75%)
2Y-068A-X-06.wav,2.0,488.47475258832804,0.801186637664345,"No Fallback, 90% Confidence"
3Y-071A-X-01.wav,3.0,506.5954269608458,0.8649036836796913,"No Fallback, 90% Confidence"
2Y-000B-F1-WO-05.wav,2.0,642.6482525633726,0.588784513856048,"No Fallback, 90% Confidence"
14Y-113A-F1.wav,14.0,320.90661411303796,0.33907786814407226,Fallback to Mid Confidence (75%)
7.5Y-013B-F4-02.wav,7.5,543.0333599308523,0.5927876031804663,"No Fallback, 90% Confidence"
8Y-020AB-M9-01.wav,8.0,694.0317710579649,0.5665947895716218,"No Fallback, 90% Confidence"
18Y-117A-F1-03.wav,18.0,338.3975897485333,0.39856799017815364,"No Fallback, 90% Confidence"
1Y-062A-X-03.wav,1.0,792.2931118164904,0.6506278896943117,"No Fallback, 90% Confidence"
5Y-000A-F1-07.wav,5.0,887.610829424535,0.5920033444251332,"No Fallback, 90% Confidence"
1Y-065A-F-07.wav,1.0,891.3175767561079,0.6466944975062059,"No Fallback, 90% Confidence"
0Y-8week-046A-17.wav,0.0,814.2930954808871,0.855531502922042,"No Fallback, 90% Confidence"
0Y-8week-046A-03.wav,0.0,1050.2538451478206,0.64036240014765,"No Fallback, 90% Confidence"
5Y-000A-F9-HD-03.wav,5.0,37.866883305920545,0.2950622381257086,Fallback to Mid Confidence (75%)
0Y-3month-042A-07.wav,0.0,616.6001559067466,0.8408976988454836,"No Fallback, 90% Confidence"
0Y-5wks-014B-X1-01.wav,0.0,1867.476789336241,0.19681086256720223,"No Fallback, 90% Confidence"
15Y-106A-M2-AT-02.wav,15.0,1482.755720780673,0.520211643862481,"No Fallback, 90% Confidence"
16Y-051B-M-08.wav,16.0,547.4809470352295,0.5892766237747474,Fallback to Mid Confidence (75%)
5Y-000A-F3-02.wav,5.0,559.9883374382165,0.6630774814296853,"No Fallback, 90% Confidence"
8Y-020AB-M5-01.wav,8.0,595.3171201121,0.5751116706122612,Fallback to Mid Confidence (75%)
6Y-002B-M5-02.wav,6.0,991.240399254139,0.5934023698446927,"No Fallback, 90% Confidence"
8Y-005A-M2-03.wav,8.0,308.71064038509786,0.3909224889322415,"No Fallback, 90% Confidence"
16Y-116A-F1-08.wav,16.0,291.7469049721337,0.5399952204464826,Fallback to Mid Confidence (75%)
6Y-023B-M1-03.wav,6.0,614.6514541189212,0.4965636779864629,Fallback to Low Confidence (50%)
16Y-116A-F1-09.wav,16.0,441.18354729298034,0.3726113964803517,Fallback to Mid Confidence (75%)
6Y-023B-M1-02.wav,6.0,438.67120383643794,0.43949221240149605,Fallback to Mid Confidence (75%)
8Y-005A-M2-02.wav,8.0,289.7607827563558,0.3303916522495027,Fallback to Mid Confidence (75%)
6Y-002B-M5-03.wav,6.0,595.1914244188997,0.4831375554053774,Fallback to Mid Confidence (75%)
6Y-009A-F1-01.wav,6.0,516.571332807121,0.6963478444765011,"No Fallback, 90% Confidence"
16Y-057A-X-1-01 2.wav,16.0,444.3137465710898,0.7327575827271423,"No Fallback, 90% Confidence"
2Y-006A-M2-02.wav,2.0,745.164622871085,0.608522490813182,Fallback to Mid Confidence (75%)
15Y-106A-M2-AT-03.wav,15.0,1228.7121270941852,0.4300823770566947,"No Fallback, 90% Confidence"
16Y-051B-M-09.wav,16.0,505.6591701117173,0.8213294817775977,"No Fallback, 90% Confidence"
0Y-3month-042A-06.wav,0.0,625.7608869003933,0.9082434436967296,"No Fallback, 90% Confidence"
5Y-000A-F9-HD-02.wav,5.0,784.6077581738282,0.4058496253712783,"No Fallback, 90% Confidence"
0Y-8week-046A-02.wav,0.0,912.6018904179468,0.7234136526440752,"No Fallback, 90% Confidence"
1Y-065A-F-06.wav,1.0,911.1302595668886,0.7104820471543533,"No Fallback, 90% Confidence"
0Y-8week-046A-16.wav,0.0,585.1443765996652,0.756335708769885,"No Fallback, 90% Confidence"
5Y-000A-F1-06.wav,5.0,562.5222079593489,0.7474748340058834,"No Fallback, 90% Confidence"
1Y-062A-X-02.wav,1.0,924.1186840775968,0.6936692123143178,"No Fallback, 90% Confidence"
18Y-117A-F1-02.wav,18.0,485.60264316806445,0.14883087003337486,Fallback to All Data
7.5Y-013B-F4-03.wav,7.5,524.618697487655,0.7004112337644284,"No Fallback, 90% Confidence"
0Y-109A-X1-01.wav,0.0,803.7687407809475,0.5612817949338539,Fallback to Mid Confidence (75%)
2Y-000B-F1-WO-04.wav,2.0,529.8751467111437,0.7254489169670986,"No Fallback, 90% Confidence"
11Y-091A-M2.wav,11.0,370.99124254485577,0.8445076922352395,"No Fallback, 90% Confidence"
3Y-072A-X-08.wav,3.0,689.1074975547306,0.34804396373643115,Fallback to Mid Confidence (75%)
2Y-068A-X-07.wav,2.0,523.8205522340778,0.7738261615061978,"No Fallback, 90% Confidence"
3Y-070A-F-03.wav,3.0,770.1928467257279,0.8070376409178085,"No Fallback, 90% Confidence"
6Y-034A-X-03.wav,6.0,577.3743414862311,0.6758379818981185,"No Fallback, 90% Confidence"
7Y-019A-X2-01.wav,7.0,884.7449788632507,0.6866484305688313,"No Fallback, 90% Confidence"
16Y-057A-X-1-01.wav,16.0,508.3647272222596,0.6079255696386099,"No Fallback, 90% Confidence"
6Y-034A-X-01.wav,6.0,521.4810575341932,0.7921435676784401,"No Fallback, 90% Confidence"
7Y-019A-X2-03.wav,7.0,851.9043742720286,0.8137191255887349,"No Fallback, 90% Confidence"
2Y-068A-X-05.wav,2.0,500.7594831075174,0.8418548865751787,"No Fallback, 90% Confidence"
6Y-007A-M2-05.wav,6.0,581.8868774079838,0.6497321524657309,"No Fallback, 90% Confidence"
3Y-070A-F-01.wav,3.0,644.4242440868306,0.3748190122803575,"No Fallback, 90% Confidence"
2.5Y-021A-M5.wav,2.5,501.21065830785216,0.688896743580699,"No Fallback, 90% Confidence"
2Y-000B-F6-01.wav,2.0,621.3666579021043,0.8574536929005071,"No Fallback, 90% Confidence"
3Y-071A-X-02.wav,3.0,513.1821337814756,0.7770622427410939,"No Fallback, 90% Confidence"
